NUM,POS,PLAYER,GP,G,A,P,PM,PIM,PP,SH,GW,S,SPCT
4,L,TAYLOR HALL,80,25,36,61,-4,50,4,0,6,283,8.8
29,C,LEON DRAISAITL,70,18,32,50,-3,20,4,0,2,127,14.2
14,R,JORDAN EBERLE,67,25,20,45,-12,14,7,0,4,163,15.3
97,C,CONNOR MCDAVID,43,15,30,45,-1,16,2,0,4,100,15
67,L,BENOIT POULIOT,55,14,22,36,-6,30,5,1,0,109,12.8
93,C,RYAN NUGENT-HOPKINS,53,11,22,33,-10,18,4,0,1,104,10.6
2,D,ANDREJ SEKERA,79,6,24,30,-16,12,2,0,2,145,4.1
55,C,MARK LETESTU,80,10,14,24,-21,10,3,2,0,106,9.4
28,L,LAURI KORPIKOSKI,69,10,11,21,-18,10,2,1,2,86,11.6
10,R,NAIL YAKUPOV,58,7,13,20,-18,22,1,0,1,125,5.6
23,L,MATT HENDRICKS,66,5,7,12,3,80,0,1,0,60,8.3
77,D,OSCAR KLEFBOM,30,4,8,12,-4,6,0,0,1,48,8.3
19,L,PATRICK MAROON,14,5,6,11,6,34,1,0,1,32,15.6
88,D,BRANDON DAVIDSON,51,4,7,11,7,20,2,0,0,63,6.3
26,R,IIRO PAKARINEN,61,5,6,11,-10,8,0,0,0,72,6.9
25,D,DARNELL NURSE,67,2,7,9,-13,60,0,0,0,115,1.7
44,R,ZACK KASSIAN,34,3,5,8,-6,112,0,0,0,39,7.7
5,D,MARK FAYNE,67,2,4,6,-9,16,0,0,0,54,3.7
62,D,ERIC GRYBA,53,1,5,6,0,75,0,0,0,58,1.7
27,D,ADAM CLENDENING,20,1,5,6,3,10,0,0,0,32,3.1
82,D,JORDAN OESTERLE,15,0,5,5,0,0,0,0,0,22,0
51,C,ANTON LANDER,61,1,2,3,-9,18,0,0,0,54,1.9
6,D,ADAM PARDY,7,0,2,2,-2,2,0,0,0,10,0
54,L,JUJHAR KHAIRA,15,0,2,2,-2,13,0,0,0,14,0
86,D,NIKITA NIKITIN,11,0,1,1,-5,8,0,0,0,12,0
12,L,ROB KLINKHAMMER,14,1,0,1,-6,6,0,0,0,10,10
20,L,LUKE GAZDIC,29,1,0,1,-6,24,0,0,0,18,5.6
8,D,GRIFFIN REINHART,27,0,1,1,-5,20,0,0,0,23,0
42,L,ANTON SLEPYSHEV,11,0,1,1,-5,2,0,0,0,5,0
21,D,ANDREW FERENCE,6,0,0,0,-4,6,0,0,0,4,0
22,R,ADAM CRACKNELL,8,0,0,0,-2,6,0,0,0,13,0
24,D,BRAD HUNT,7,0,0,0,-1,2,0,0,0,12,0
58,R,ANDREW MILLER,6,0,0,0,-1,0,0,0,0,3,0
